model,optimizer,detector_type,detector,ood_dataset,auroc,fpr95,aupr_in,run_id,raw_import_path
Adam matched,adam_matched,logit,maxlogit,tiny_imagenet,0.826552625,0.6851,0.8338275156025236,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,msp,cifar100,0.798295205,0.782,0.8226300900922556,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,msp,mnist,0.92306719,0.4614,0.9381207437745973,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,msp,svhn,0.9156001478948986,0.5495543945912723,0.8785655161851672,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,msp,tiny_imagenet,0.79312379,0.7754,0.8125340806243936,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,neg_entropy,cifar100,0.810151605,0.7365,0.828671601336159,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,neg_entropy,mnist,0.95512102,0.2527,0.9602609367281665,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,neg_entropy,svhn,0.9289248367393976,0.46262292562999385,0.8920261549617265,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,neg_entropy,tiny_imagenet,0.8055577,0.7237,0.818727946221691,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_diag,cifar100,0.628212455,0.8888,0.6326061321365772,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_diag,mnist,0.735531505,0.9807,0.8109548936213263,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_diag,svhn,0.8434595113706208,0.9613552550706822,0.8001669848651923,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_diag,tiny_imagenet,0.61766933,0.9105,0.6181565499845476,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_shrinkage,cifar100,0.62540782,0.8652,0.6171503485161147,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_shrinkage,mnist,0.756170685,0.9232,0.8136127946668561,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_shrinkage,svhn,0.8007481465119852,0.8234480639213276,0.6935435021968938,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_shrinkage,tiny_imagenet,0.60237466,0.9021,0.6016999164437631,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_tied,cifar100,0.56760975,0.9313,0.5791053058511858,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_tied,mnist,0.73865444,0.9822,0.8113389488160837,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_tied,svhn,0.8459915200522434,0.7150814382298709,0.7382170443485088,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,gmm_ddu_tied,tiny_imagenet,0.54657655,0.9489,0.5601156096835986,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn,cifar100,0.551333185,0.9181,0.5557712955012053,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn,mnist,0.66003052,0.995,0.7671561053532032,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn,svhn,0.6851125710663798,0.9806007990165949,0.5695316207880086,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn,tiny_imagenet,0.527533245,0.9413,0.5417692410152044,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn_l2,cifar100,0.77667709,0.7231,0.7748982114653322,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn_l2,mnist,0.99617115,0.013,0.9966909655505289,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn_l2,svhn,0.9637576175476337,0.17904886293792255,0.9213124785450617,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,knn_l2,tiny_imagenet,0.774081025,0.7489,0.7797465507818031,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,mahalanobis,cifar100,0.57455778,0.9295,0.5860753184669314,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,mahalanobis,mnist,0.747447845,0.9795,0.8163235901610235,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,feature,mahalanobis,svhn,0.8511077347111248,0.701521204671174,0.7465364134901988,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
